Gene.Symbol, fold.change,P.Value
pks13,1.09,0.000508046
rpoC,0.68,7.80889E-05
rpoB,0.74,0.000200846
msl3,1.91,0.000205251
gdh,0.67,0.00137504
pks2,2.8,7.18568E-06
rpoC,2.55,0.23141623
kgd,0.31,0.066582573
groEL2,0.43,0.032621999
dnaK,0.22,0.086165124
metE,0.44,0.019616904
katG,0.62,0.021483557
acn,0.2,0.420218807
gltB,0.26,0.19045037
mas,-2.63,5.40145E-05
aceE,0.49,0.050831753
clpC1,0.3,0.768393661
fadE5,-0.38,0.001829393
clpB,-0.17,0.297032195
pckG,-1.38,4.81006E-06
glcB,0.05,0.555116212
tuf,-0.01,0.076514282
icd-2,-0.18,0.631427826
glnA1,-0.7,0.012548079
groEL1,-0.36,0.019525584
gyrA,0.4,0.213284326
glgP,-0.02,0.089224249
eccA3,-1.42,0.000392612
fusA,-0.03,0.659229977
ppsE,1.54,0.000297887
ppsE,6.64,1.9372E-05
fadE10,0.41,0.046193477
nuoG,-0.35,0.408694686
ald,-0.92,0.000329542
dnaK,6.64,5.66249E-06
accA3,-0.26,0.756036849
tkt,-0.2,0.239056635
atpA,0.33,0.194977615
eccC3,0.51,0.417253754
gcvP,-0.42,0.017215095
atpD,-0.36,0.02681028
ahcY,-0.61,0.003752006
metK,-0.85,0.004088098
pnp,0.1,0.003896092
lldD,1.17,0.004013749
htpG,0.26,0.838273256
pheT,-0.09,0.034893728
fadD32,0.78,0.001309006
serA,-0.2,0.00081423
guaB1,-0.49,0.012552791
fabG4,0.16,0.614593172
valS,0.36,0.186365119
secA2,-0.31,0.070451992
car,-0.26,0.992973255
pyk,-0.26,0.019177654
proS,0.06,0.054762243
alaS,0.09,0.121751878
nrdE,1.37,0.000663458
accD5,0.08,0.090834911
gltA2,-0.12,0.568140835
fadA,-0.52,0.000444142
kasB,0.12,0.121589346
etfA,-1.07,0.001646475
leuA,-0.58,0.006593733
pgi,-0.23,0.038679538
ppk,-0.03,0.062135322
rpsA,-0.25,0.071214496
tsf,-0.77,0.004552536
adhB,0.96,0.040044076
fadD15,0.46,0.08578851
icl,-2.26,7.81885E-06
fadD21,-1.1,0.008218484
glyA1,-0.38,0.012894213
kasA,-0.52,0.011048511
accD4,0.62,0.005681077
prpD,-3.4,5.35634E-05
gyrB,0.05,0.577677252
lpdC,-0.17,0.150901001
korA,-0.64,0.005752118
leuS,0.16,0.448891468
dlaT,0.43,0.14173905
sucC,-0.22,0.050541957
fadE25,0.11,0.238303371
pks12,0.78,0.068737057
groEL2,-0.37,0.351596315
moxR1,-0.09,0.419990303
ettA,0.06,0.034787059
glyA1,-2.84,0.070809146
argS,-0.6,0.017524398
kdc,-0.18,0.005422808
rpoA,-0.55,0.125064001
secA1,1.12,0.17982886
topA,1.14,0.005482837
ppsC,0.76,0.032385109
sucD,-0.28,0.640156589
thrC,-0.55,0.014603511
thrS,-0.38,0.000768594
sir,0.39,0.046462971
ppsA,-0.13,0.230504946
rho,0.99,0.010228368
ileS,0.08,0.780246759
gabD1,-0.36,0.019255001
korB,-0.8,0.025891824
tuf,-1.24,0.069516662
murE,-0.37,0.018642214
desA1,-0.45,0.004620951
ispG,-0.35,0.004452391
trpB,-0.22,0.932835026
ilvC,-0.18,0.14198492
tpiA,-0.64,0.000537405
ilvX,-0.57,0.01055831
cysA1,-1.58,0.020615377
tal,0.08,0.516354086
umaA,-0.64,0.002620846
tuf,0.97,0.487537457
eno,-0.84,0.012420567
desA2,0.12,0.38410689
fadD28,0.4,0.172037654
adhC,-0.38,0.000507208
fumC,0.02,0.130403291
gatB,-0.36,0.020406623
fadD25,-0.08,0.215007531
cbs,-0.59,0.02090969
gap,-0.72,0.019352972
csd,-0.05,0.005757541
glyQS,-0.09,0.086749685
pepA,-0.95,0.002984103
aroG,-0.27,0.094682696
gltD,-0.39,0.003207919
purH,-0.69,0.010052986
acsA,-0.38,0.099539047
uvrA,0.29,0.797721285
eccA1,0.29,0.787616178
fba,-0.74,0.000447798
gltX,-0.1,0.243792961
glpX,0.06,0.005057293
polA,-0.11,0.221936349
nuoF,-0.41,6.58944E-05
lat,-1.9,1.99973E-05
pspA,0.34,0.000228128
fadB2,-0.99,0.000971544
argG,-0.76,0.011983573
atpG,0.55,0.987116246
proA,-0.58,0.002075263
glnA2,-0.81,0.003269357
ligA,-0.34,0.165570169
trpE,-0.33,0.001023018
mdh,-0.84,0.001621479
carB,0.45,0.523627886
glgE,-0.26,0.114659159
arcA,-1.01,0.000858885
mmaA4,0.34,0.357128417
cmaA2,0.21,0.089461794
prs,-0.44,0.004176544
hemL,-0.77,0.00047293
gpmA,-0.17,0.023432736
dop,-0.27,0.045663634
purL,0.36,0.083688912
glmS,-0.18,0.283184776
glgB,0.29,0.319865064
pknD,0.57,0.011856101
ilvD,-0.16,0.201295033
embR,-0.32,8.38728E-07
fadA4,-1.04,0.001902743
dapD,-0.39,0.005203742
guaA,-0.87,0.001103696
fadD23,0.58,0.593527293
rmlB,-0.2,0.179196165
rpsA,-2.31,0.015504966
otsA,-0.56,0.008353772
purA,-0.37,1.36155E-05
metG,-0.21,0.30626199
mak,-0.6,0.070870681
eccB3,0.37,0.329341144
serC,-1.04,0.000293387
enc,-0.52,0.126771275
acg,-0.52,0.010077037
sseA,-0.88,0.000167606
sodB,-0.26,0.579431563
fadE2,-0.14,0.174029734
pgk,-0.79,0.007172913
folD,-0.48,0.004878021
leuB,-0.97,0.002881435
coaBC,-0.6,0.377206251
htdY,-1.07,0.003031562
tig,1.5,0.038617621
lipN,-0.35,0.007248654
mmaA2,-0.78,0.033679828
aspS,0.04,0.075981155
menB,0.3,0.889992965
wag31,1.7,0.000243352
fadD6,0.34,0.016150071
treS,-0.27,0.003104954
purK,-0.54,0.007310475
adoK,-1.24,0.00041283
manB,-0.59,0.005927936
dhmA1,0.6,0.002282997
rpsB,0.95,0.125693123
trxB,-0.09,0.499707698
gabD2,0,0.731547395
asd,-1.11,0.00229232
rne,1.63,0.000544013
citA,0.17,0.237582852
pks5,1.05,0.716500751
aroA,0.32,0.172121879
pafA,0.21,0.735269861
echA6,-0.97,0.028680695
argD,-1.3,0.000260628
cds1,-0.82,0.025651666
ilvB1,-0.3,0.588484816
cysS,-0.24,0.03027116
metB,0.11,0.774143256
gabT,0.06,0.080425618
ilvE,-0.5,0.007452203
hbhA,0.07,0.296406513
accD6,1.39,0.045531248
eis,0.15,0.046978032
pcaA,-0.13,0.18483651
gatA,-0.66,0.092994509
prcB,0.09,0.835051735
trpA,0.15,0.453404059
mtr,0.1,0.689805008
ribD,0.54,0.318631665
rpsD,1.47,0.003046816
ino1,-0.55,0.001249373
nadC,0.21,0.197881421
cmaB,0.05,0.054765948
mabA,-0.05,0.153495387
fhaA,0.46,0.064452457
glpD2,0.36,0.117158304
mihF,1.68,0.003922261
atpFH,0.64,0.182298493
amiC,0.36,0.266801998
rpsC,1.18,0.027926399
fadD13,0.44,0.034195753
pyrG,0.41,0.932364763
groES,1.39,0.003160943
papA2,0.22,0.329443248
serS,0.14,0.443541462
nadE,-0.44,0.002908714
etfB,0.05,0.434110528
purC,-0.89,0.009219037
rplC,0.99,0.059166032
lysS1,0.44,0.695792147
plsB,0.65,0.633723013
bcp,-0.99,0.124394158
pdtaR,-0.35,0.333602535
ethA,0.69,0.555556558
ilvG,-1.28,0.057518904
fadE12,-0.31,0.078235372
rplB,1.11,0.060911631
pheA,-0.2,0.04051374
apeB,-0.63,0.025423958
fgd1,-0.92,0.046859601
murF,-0.3,0.252192774
helY,0.01,0.595788447
argH,-0.28,0.509425942
purD,-0.1,0.069597615
accA1,0.04,0.657621483
argC,-1.13,0.000791749
accD1,0.18,0.173749398
pfkA,-0.17,0.024536329
fadD32,2.28,0.171402146
moeZ,0.18,0.955975131
groEL,-0.6,0.20510393
coaE,-0.68,0.007492568
glpK,-0.55,0.00966927
hom,0.11,0.949882322
pgl,0.05,0.801457114
clpP2,-0.31,0.029859775
glnE,0.74,0.012110315
eccC5,0.5,0.06483903
infB,1.93,0.014926623
rpiB,0.27,0.437923896
pstS1,1.03,0.220735064
glmU,-0.7,0.0245105
guaB,0.92,0.05904342
nuoD,-0.06,0.561890715
galE1,-0.16,0.057243048
ephD,0.05,0.141247248
thiC,-0.15,0.004880416
cmaA1,-0.32,0.051579231
fadA5,-0.89,0.004904311
mutA,-0.19,0.056024403
espK,0.13,0.131294794
ffh,-0.03,0.05149175
crp,-0.29,0.191327214
rpsG,1.26,0.001435113
zwf2,0.25,0.693845398
metZ,0.05,0.594611863
tesA,-0.49,0.023187716
rplA,0.81,0.09079182
glf,0.18,0.510960721
dnaN,-0.01,0.293844633
hsaA,0.08,0.906310118
glgX,0.11,0.075014041
proC,-0.2,0.033699346
mmaA1,-0.37,0.099806485
mntH,-0.04,0.620582903
hsaC,-0.46,0.006072629
tyrS,-0.21,0.447380257
fbpB,-0.42,0.436888137
mutB,-0.15,0.083149636
gpm2,0.33,0.093738361
rph,-0.17,0.001773976
mpa,0.02,0.797581777
chdC,0.11,0.968768019
fadD8,-1.25,0.003638156
bkdC,-0.49,1.94535E-05
hspX,0.33,0.039680099
cyp140,0.8,0.946656237
ilvA,-0.79,0.068490351
fadA6,-0.55,0.017994376
rplQ,0.15,0.404243084
espR,0.22,0.015369408
ppsD,0.85,0.632084225
rplE,0.39,0.115047888
bfrB,-0.85,0.005512173
inhA,-0.37,0.080584885
icd-1,-0.52,0.013657105
dxs,0.19,0.130652493
menD,0.2,0.673013238
fprA,-0.89,0.004162445
lysA,-0.37,0.014765542
cinA,-0.49,0.021225932
eno,2.34,0.152731739
gcvT,-0.96,0.080483489
aroC,-0.44,0.127374178
frr,0.73,0.006655291
ppiA,0.52,0.089002797
bpoC,0.06,0.346190789
alaS,-0.96,0.49420127
glfT2,0.68,0.00173295
trmI,-0.12,0.619721763
sigA,1.35,0.062998405
